chemokine,chemokine_alternate_name,gpcr,PMID,author_date_journal,data_synopsis,binding_kd_ki_nm,binding_ec50_ic50_nm,signaling_ec50_ic50_nm,chemotaxis_ec50_ic50_nm,chemotaxis_max_nm,data_comment,ligand_type,interaction_strength,evidence_grade,other_comment
CCL20,LARC; MIP-3a,CCR1,9169459,"Baba, et al. 1997. J Biol Chem","""we measured LARC [CCL20]-induced calcium mobilization in a panel of K562 cells stably expressing the five known CCRs (CCR1-CCR5) and five orphan chemokine receptors, V28/CMKBRL1 [CX3CR1] (31, 32), EBI1 [CCR7] (33), BLR1 [CXCR5] (34), GPR-CY42 [CCR6] (GenBankTM accession number U45984), and GPR-9–6 [CCR9] 3 (GenBankTM accession number U45982). As shown in Fig. 1 A, LARC [CCL20] specifically induced calcium flux in K562 cells expressing GPR-CY4 [CCR6] with complete desensitization against a rapid successive treatment with LARC [CCL20]. LARC [CCL20] did not induce calcium flux in parental K562 cells or those expressing CCR1, CCR2B, CCR3, CCR4, CCR5, or four other orphan receptors. On the other hand, MIP-1_ [CCL3], MIP-1_ [CCL4], MCP-1 [CCL2], eotaxin [CCL11], or TARC [CCL17] did not induce calcium flux in K562 cells expressing GPR-CY4 [CCR6] (not shown). These chemokines, however, properly induced calcium flux in K562 cells expressing their respective CCRs even after treatment with LARC [CCL20] (Fig. 1 A)""",,,,,,Signaling assay: calcium flux; Signaling cells: stably-transfected K562 cells with indicated receptor,no interaction,0,C,
CCL20,LARC; MIP-3a,CCR2,9169459,"Baba, et al. 1997. J Biol Chem","""we measured LARC [CCL20]-induced calcium mobilization in a panel of K562 cells stably expressing the five known CCRs (CCR1-CCR5) and five orphan chemokine receptors, V28/CMKBRL1 [CX3CR1] (31, 32), EBI1 [CCR7] (33), BLR1 [CXCR5] (34), GPR-CY42 [CCR6] (GenBankTM accession number U45984), and GPR-9–6 [CCR9] 3 (GenBankTM accession number U45982). As shown in Fig. 1 A, LARC [CCL20] specifically induced calcium flux in K562 cells expressing GPR-CY4 [CCR6] with complete desensitization against a rapid successive treatment with LARC [CCL20]. LARC [CCL20] did not induce calcium flux in parental K562 cells or those expressing CCR1, CCR2B, CCR3, CCR4, CCR5, or four other orphan receptors. On the other hand, MIP-1_ [CCL3], MIP-1_ [CCL4], MCP-1 [CCL2], eotaxin [CCL11], or TARC [CCL17] did not induce calcium flux in K562 cells expressing GPR-CY4 [CCR6] (not shown). These chemokines, however, properly induced calcium flux in K562 cells expressing their respective CCRs even after treatment with LARC [CCL20] (Fig. 1 A)""",,,,,,Signaling assay: calcium flux; Signaling cells: stably-transfected K562 cells with indicated receptor,no interaction,0,C,
CCL20,LARC; MIP-3a,CCR3,9169459,"Baba, et al. 1997. J Biol Chem","""we measured LARC [CCL20]-induced calcium mobilization in a panel of K562 cells stably expressing the five known CCRs (CCR1-CCR5) and five orphan chemokine receptors, V28/CMKBRL1 [CX3CR1] (31, 32), EBI1 [CCR7] (33), BLR1 [CXCR5] (34), GPR-CY42 [CCR6] (GenBankTM accession number U45984), and GPR-9–6 [CCR9] 3 (GenBankTM accession number U45982). As shown in Fig. 1 A, LARC [CCL20] specifically induced calcium flux in K562 cells expressing GPR-CY4 [CCR6] with complete desensitization against a rapid successive treatment with LARC [CCL20]. LARC [CCL20] did not induce calcium flux in parental K562 cells or those expressing CCR1, CCR2B, CCR3, CCR4, CCR5, or four other orphan receptors. On the other hand, MIP-1_ [CCL3], MIP-1_ [CCL4], MCP-1 [CCL2], eotaxin [CCL11], or TARC [CCL17] did not induce calcium flux in K562 cells expressing GPR-CY4 [CCR6] (not shown). These chemokines, however, properly induced calcium flux in K562 cells expressing their respective CCRs even after treatment with LARC [CCL20] (Fig. 1 A)""",,,,,,Signaling assay: calcium flux; Signaling cells: stably-transfected K562 cells with indicated receptor,no interaction,0,C,
CCL20,LARC; MIP-3a,CCR4,9169459,"Baba, et al. 1997. J Biol Chem","""we measured LARC [CCL20]-induced calcium mobilization in a panel of K562 cells stably expressing the five known CCRs (CCR1-CCR5) and five orphan chemokine receptors, V28/CMKBRL1 [CX3CR1] (31, 32), EBI1 [CCR7] (33), BLR1 [CXCR5] (34), GPR-CY42 [CCR6] (GenBankTM accession number U45984), and GPR-9–6 [CCR9] 3 (GenBankTM accession number U45982). As shown in Fig. 1 A, LARC [CCL20] specifically induced calcium flux in K562 cells expressing GPR-CY4 [CCR6] with complete desensitization against a rapid successive treatment with LARC [CCL20]. LARC [CCL20] did not induce calcium flux in parental K562 cells or those expressing CCR1, CCR2B, CCR3, CCR4, CCR5, or four other orphan receptors. On the other hand, MIP-1_ [CCL3], MIP-1_ [CCL4], MCP-1 [CCL2], eotaxin [CCL11], or TARC [CCL17] did not induce calcium flux in K562 cells expressing GPR-CY4 [CCR6] (not shown). These chemokines, however, properly induced calcium flux in K562 cells expressing their respective CCRs even after treatment with LARC [CCL20] (Fig. 1 A)""",,,,,,Signaling assay: calcium flux; Signaling cells: stably-transfected K562 cells with indicated receptor,no interaction,0,C,
CCL20,LARC; MIP-3a,CCR4,9169480,"Imai, et al. 1997. J Biol Chem","""In contrast, other CC chemokines such as RANTES [CCL5], MCP-1 [CCL2], MIP-1_ [CCL3], MIP-1_ [CCL4], and LARC [CCL20] showed no significant competition with TARC [CCL17]-SEAP(His)6 for CCR4 (Fig. 4 D)""",,,,,,Binding assay: competition (single point); Binding cells: stably transfected K562 cells; Binding ligand: CCL17-SEAP,no interaction,0,C,200nM of inidcated chemokine was added to compete with 1nM CCL17-SEAP
CCL20,LARC; MIP-3a,CCR5,9169459,"Baba, et al. 1997. J Biol Chem","""we measured LARC [CCL20]-induced calcium mobilization in a panel of K562 cells stably expressing the five known CCRs (CCR1-CCR5) and five orphan chemokine receptors, V28/CMKBRL1 [CX3CR1] (31, 32), EBI1 [CCR7] (33), BLR1 [CXCR5] (34), GPR-CY42 [CCR6] (GenBankTM accession number U45984), and GPR-9–6 [CCR9] 3 (GenBankTM accession number U45982). As shown in Fig. 1 A, LARC [CCL20] specifically induced calcium flux in K562 cells expressing GPR-CY4 [CCR6] with complete desensitization against a rapid successive treatment with LARC [CCL20]. LARC [CCL20] did not induce calcium flux in parental K562 cells or those expressing CCR1, CCR2B, CCR3, CCR4, CCR5, or four other orphan receptors. On the other hand, MIP-1_ [CCL3], MIP-1_ [CCL4], MCP-1 [CCL2], eotaxin [CCL11], or TARC [CCL17] did not induce calcium flux in K562 cells expressing GPR-CY4 [CCR6] (not shown). These chemokines, however, properly induced calcium flux in K562 cells expressing their respective CCRs even after treatment with LARC [CCL20] (Fig. 1 A)""",,,,,,Signaling assay: calcium flux; Signaling cells: stably-transfected K562 cells with indicated receptor,no interaction,0,C,
CCL20,LARC; MIP-3a,CCR6,9294137,"Power, et al. 1997. J Exp Med","""We also tested the ability of the DCCR2 [CCR6]-transfected HEK 293 cells to bind to radiolabeled synthetic MIP-3_ [CCL20]. In competition binding assays, synthetic MIP-3_ [CCL20] was able to displace [I125]-MIP-3_ [CCL20] with an IC50 value of _12 nM (Fig. 9)""; ""As shown in Fig. 6, incubation of DCCR2 [CCR6] expressing HEK 293 cells with 100 nM MIP-3_ [CCL20] promoted a rapid, transient increase in cytosolic-free calcium, a response that was maximal within 25–30 s of application (from 2,230 ± 489 cpm to 7,541 ± 1,237 cpm at 25 s; n = 8, P <0.05 versus basal), and was sustained for up to 5 min thereafter (4,234 ± 869 cpm at 3.5 min, n = 8). Furthermore, the response was dose dependent, exhibiting a half-maximal effective concentration (EC50) of 100–200 nM""",,12,100,,,Binding assay: competition (whole cell); Binding ligand: 125I-CCL20; Binding cells: transiently-transfected HEK293; Signaling assay: calcium flux; Signaling cells: transiently-transfected HEK293,agonist,3,A,"Note that the EC50 for CCR6-mediated CCL20 calcium flux is listed at 100-200nM and is not derived from full, fitted dose-response curve but is empirically deduced (evidenve level B); Evidence- level A grade for this interaction is from competition binding data "
CCL20,LARC; MIP-3a,CCR6,9169459,"Baba, et al. 1997. J Biol Chem","""we measured LARC [CCL20]-induced calcium mobilization in a panel of K562 cells stably expressing the five known CCRs (CCR1-CCR5) and five orphan chemokine receptors, V28/CMKBRL1 [CX3CR1] (31, 32), EBI1 [CCR7] (33), BLR1 [CXCR5] (34), GPR-CY42 [CCR6] (GenBankTM accession number U45984), and GPR-9–6 [CCR9] 3 (GenBankTM accession number U45982). As shown in Fig. 1 A, LARC [CCL20] specifically induced calcium flux in K562 cells expressing GPR-CY4 [CCR6] with complete desensitization against a rapid successive treatment with LARC [CCL20]""; ""As shown in Fig. 1 B, 293/EBNA-1 cells stably expressing GPR-CY4 [CCR6] responded to LARC [CCL20] in calcium mobilization with an EC50 of _50 nm. These results clearly demonstrated that LARC [CCL20] was a specific functional ligand for GPR-CY4 [CCR6]""; ""As shown in Fig.2 A, LARC [CCL20] induced migration in cells stably expressing GPR-CY4 [CCR6] with a typical bi-modal dose-response curve with a maximum effect at 1 _g/ml and an EC50 of _100 ng/ml (_12 nm)""; ""The Scatchard analysis revealed a Kd of 0.9 nm and 28,800 sites/cell (Fig.3 B). Unlabeled LARC [CCL20] fully competed with LARC [CCL20]-SEAP(His)6 for GPR-CY4 [CCR6] with an IC50 of 3.4 nm (Fig. 3 C)""",0.9,3.4,50,,12,Signaling assay: calcium flux; Signaling cells: stably-transfected 293/EBNA-1 cells and K562 cells with indicated receptor; Chemotaxis assay: transwell; Chemotaxis cells: stably-transfected 293/EBNA-1 cells; Binding assay: saturation and compeition; Binding ligand: CCL20-SEAP; Binding cells: stably transfected Raji cells,agonist,3,A,
CCL20,LARC; MIP-3a,CCR6,32533638,"Matti, et al. 2020. J Leukoc Biol","""We used a BRET-based assay to measure chemokine-induced _-arrestin recruitment to cognate receptors. We tagged _-arrestin1 and _-arrestin2 with the NLuc and hACKR4, hACKR3, and hCCR6 with the EYFP and expressed them in HeLa cells. Untagged, native hCCL20 in a dose dependent manner recruited both _-arrestin1-NLuc (Fig. 5A) and _-arrestin2-NLuc (Fig. 5B) to hACKR4-EYFP with a comparable potency. As noted for other chemokine/chemokine receptor pairs,28 hCCL20 recruited _-arrestin2-NLuc slightly more potent to hACKR4-EYFP than _-arrestin1-NLuc (Figs. 5A and 5B). Consistent with the competition binding data, hCCL19 more efficiently recruited _-arrestin2-NLuc to hACKR4-EYFP than hCCL20 (Fig. 5C). By contrast, hCCL20 did not recruit _-arrestin2-NLuc to hACKR3-EYFP (Fig. 5D). When tested on its unique cognate typical receptor, hCCL20 also recruited _-arrestin1-NLuc (Fig. 5E) and _-arrestin2-NLuc (Fig. 5F) to hCCR6-EYFP in a dose dependent manner. These data provide clear evidence that hCCL20 is a ligand for hACKR4, but not for hACKR3""",,,80,,,Signaling assay: BRET-based B-arrestin recruitment; Signaling cells: transiently transfected HeLa cells,agonist,3,A,"Multiple conditions tested including CCL20-mediated B-arrestin1 recruitment (EC50 130nM, not listed); B-arrestin2 recruitment (EC50 80nM, listed); paper also presentings data showing binding and uptake of fluorescently-labeled CCL20; these data are not considered in table because they are considered to be less directly reporting on ligand-GPCR interactions than BRET assays between the GPCR and B-arrestin  "
CCL20,LARC; MIP-3a,CCR7,9169459,"Baba, et al. 1997. J Biol Chem","""we measured LARC [CCL20]-induced calcium mobilization in a panel of K562 cells stably expressing the five known CCRs (CCR1-CCR5) and five orphan chemokine receptors, V28/CMKBRL1 [CX3CR1] (31, 32), EBI1 [CCR7] (33), BLR1 [CXCR5] (34), GPR-CY42 [CCR6] (GenBankTM accession number U45984), and GPR-9–6 [CCR9] 3 (GenBankTM accession number U45982). As shown in Fig. 1 A, LARC [CCL20] specifically induced calcium flux in K562 cells expressing GPR-CY4 [CCR6] with complete desensitization against a rapid successive treatment with LARC [CCL20]. LARC [CCL20] did not induce calcium flux in parental K562 cells or those expressing CCR1, CCR2B, CCR3, CCR4, CCR5, or four other orphan receptors. On the other hand, MIP-1_ [CCL3], MIP-1_ [CCL4], MCP-1 [CCL2], eotaxin [CCL11], or TARC [CCL17] did not induce calcium flux in K562 cells expressing GPR-CY4 [CCR6] (not shown). These chemokines, however, properly induced calcium flux in K562 cells expressing their respective CCRs even after treatment with LARC [CCL20] (Fig. 1 A)""",,,,,,Signaling assay: calcium flux; Signaling cells: stably-transfected K562 cells with indicated receptor,no interaction,0,C,
CCL20,LARC; MIP-3a,CCR7,9153236,"Yoshida, et al. 1997. J Biol Chem","""As shown in Fig.6, by displacement experiments, ELC [CCL19]-Flag fully competed with ELC [CCL19]-SEAP for EBI1 [CCR7] with an IC50 of 18 nm. In contrast, no other CC chemokines such as MCP-1 [CCL2] (66, 67), MCP-2 [CCL8] (63), MCP-3 [CCL7] (64), eotaxin [CCL11] (30), MIP-1_/LD78_ [CCL3/CCL3L1] (62), MIP-1_ [CCL4] (60), RANTES [CCL5] (61), TARC [CCL17] (53), and LARC [CCL20] (38) were capable of competing with ECL[sic][CCL19]-SEAP for EBI1 [CCR7] (Fig. 6 B). These results indicated that ELC [CCL19] is a highly specific high affinity ligand for EBI1 [CCR7]""",,,,,,Binding assay: competition (single point); Binding ligand: CCL19-SEAP; Binding cells: stably transfected K562 cells,no interaction,0,C,"Chemokines tested at single dose (200nM): ""displacement of ELC-SEAP by other chemokines. K562 cells stably transfected with EBI1 (2 _ 105 cells) were incubated at 16 °C for 1 h with 1 nm of ELC-SEAP in the presence of indicated chemokines at 200 nm"""
CCL20,LARC; MIP-3a,CCR9,9169459,"Baba, et al. 1997. J Biol Chem","""we measured LARC [CCL20]-induced calcium mobilization in a panel of K562 cells stably expressing the five known CCRs (CCR1-CCR5) and five orphan chemokine receptors, V28/CMKBRL1 [CX3CR1] (31, 32), EBI1 [CCR7] (33), BLR1 [CXCR5] (34), GPR-CY42 [CCR6] (GenBankTM accession number U45984), and GPR-9–6 [CCR9] 3 (GenBankTM accession number U45982). As shown in Fig. 1 A, LARC [CCL20] specifically induced calcium flux in K562 cells expressing GPR-CY4 [CCR6] with complete desensitization against a rapid successive treatment with LARC [CCL20]. LARC [CCL20] did not induce calcium flux in parental K562 cells or those expressing CCR1, CCR2B, CCR3, CCR4, CCR5, or four other orphan receptors. On the other hand, MIP-1_ [CCL3], MIP-1_ [CCL4], MCP-1 [CCL2], eotaxin [CCL11], or TARC [CCL17] did not induce calcium flux in K562 cells expressing GPR-CY4 [CCR6] (not shown). These chemokines, however, properly induced calcium flux in K562 cells expressing their respective CCRs even after treatment with LARC [CCL20] (Fig. 1 A)""",,,,,,Signaling assay: calcium flux; Signaling cells: stably-transfected K562 cells with indicated receptor,no interaction,0,C,
CCL20,LARC; MIP-3a,CXCR3,9660793,"Weng, et al. 1998. J Biol Chem","""Eotaxin [CCL11] and MCP-4 [CCL13] have Ki values of 60 and 70 nm, whereas MCP-3 [CCL7] and RANTES [CCL5] have lower affinities with Ki values of 250 and 420 nm, respectively. Because CCR6 and CCR7 are phylogenetically more closely related to CXCR3 than is CCR3, we also examined the ability of their ligands (MIP-3_ [CCL20] and MIP-3_ [CCL19]) to bind to CXCR3. MIP-3_ [CCL20] does bind with some affinity (Ki = 160 nm), although MIP-3_ [CCL19] shows very little activity (Ki = 1700 nm). Similarly, MIP 1_ [CCL3], MIP1_ [CCL4], and MCP-1 [CCL2], ligands for CCRs 1, 2, and 5 (reviewed in Ref. 1) show little or no affinity for the receptor (data not shown)""",140,,,,,Binding assay: competition; Binding ligand: 125I-CXCL10; Binding cells: stably-expressing CHO,ND,2,A,Ligand binding also measured for some ligands in activated T cells and RBL cell line; only consider CHO line here
CCL20,LARC; MIP-3a,CXCR5,9169459,"Baba, et al. 1997. J Biol Chem","""we measured LARC [CCL20]-induced calcium mobilization in a panel of K562 cells stably expressing the five known CCRs (CCR1-CCR5) and five orphan chemokine receptors, V28/CMKBRL1 [CX3CR1] (31, 32), EBI1 [CCR7] (33), BLR1 [CXCR5] (34), GPR-CY42 [CCR6] (GenBankTM accession number U45984), and GPR-9–6 [CCR9] 3 (GenBankTM accession number U45982). As shown in Fig. 1 A, LARC [CCL20] specifically induced calcium flux in K562 cells expressing GPR-CY4 [CCR6] with complete desensitization against a rapid successive treatment with LARC [CCL20]. LARC [CCL20] did not induce calcium flux in parental K562 cells or those expressing CCR1, CCR2B, CCR3, CCR4, CCR5, or four other orphan receptors. On the other hand, MIP-1_ [CCL3], MIP-1_ [CCL4], MCP-1 [CCL2], eotaxin [CCL11], or TARC [CCL17] did not induce calcium flux in K562 cells expressing GPR-CY4 [CCR6] (not shown). These chemokines, however, properly induced calcium flux in K562 cells expressing their respective CCRs even after treatment with LARC [CCL20] (Fig. 1 A)""",,,,,,Signaling assay: calcium flux; Signaling cells: stably-transfected K562 cells with indicated receptor,no interaction,0,C,
CCL20,LARC; MIP-3a,CX3CR1,9169459,"Baba, et al. 1997. J Biol Chem","""we measured LARC [CCL20]-induced calcium mobilization in a panel of K562 cells stably expressing the five known CCRs (CCR1-CCR5) and five orphan chemokine receptors, V28/CMKBRL1 [CX3CR1] (31, 32), EBI1 [CCR7] (33), BLR1 [CXCR5] (34), GPR-CY42 [CCR6] (GenBankTM accession number U45984), and GPR-9–6 [CCR9] 3 (GenBankTM accession number U45982). As shown in Fig. 1 A, LARC [CCL20] specifically induced calcium flux in K562 cells expressing GPR-CY4 [CCR6] with complete desensitization against a rapid successive treatment with LARC [CCL20]. LARC [CCL20] did not induce calcium flux in parental K562 cells or those expressing CCR1, CCR2B, CCR3, CCR4, CCR5, or four other orphan receptors. On the other hand, MIP-1_ [CCL3], MIP-1_ [CCL4], MCP-1 [CCL2], eotaxin [CCL11], or TARC [CCL17] did not induce calcium flux in K562 cells expressing GPR-CY4 [CCR6] (not shown). These chemokines, however, properly induced calcium flux in K562 cells expressing their respective CCRs even after treatment with LARC [CCL20] (Fig. 1 A)""",,,,,,Signaling assay: calcium flux; Signaling cells: stably-transfected K562 cells with indicated receptor,no interaction,0,C,
CCL20,LARC; MIP-3a,ACKR1,15358176,"Gardner, et al. 1994. Biochem Biophys Res Commun","""the ability of heterologous unlabelled chemokines to displace specific 125I-CXCL-8 binding was examined. In these cross-competition experiments 125I-CXCL-8 was incubated with erythrocytes in the presence of increasing concentrations of 30 different chemokines over the range 0.1 to 1000 nM...chemokines could be classified into three categories: those that showed strong binding (Ki < 100 nM), weak binding (Ki 100 nM–1 lM), and no binding (Ki > 1 lM) (Table 1)""; CCL20 (LARC) Ki >1uM (Table 1) (PMID 15358176)",>1000,,,,,Binding assay: competition; Binding ligand: 125I-CXCL8,no interaction,0,A,
CCL20,LARC; MIP-3a,ACKR2,15067078,"Bonecchi, et al. 2004. J Immunol","""To better characterize the spectrum of chemokines recognized and scavenged by D6, D6/CHO-K1 transfectants were incubated for 3 h with 1.2 nM of various chemokines. At the end of the incubation, the chemokine concentration in the supernatant was measured by ELISA. As shown in Fig. 1, among known D6 ligands, the inflammatory CC chemokines CCL5 and CCL11 were scavenged with the highest efficiency (94.3 ± 0.2 and 92.5 ± 2.1% of the initially seeded chemokine, respectively). CCL7, CCL4, CCL2, and CCL3L1 were scavenged with intermediate efficiency (85.1 ± 0.5, 83.9 ± 2.9, 76.5 ± 2.2, and 76.0 ± 6.6% of the initially seeded chemokine, respectively). Interestingly, CCL3 and CCL3L1, which only differ in the presence of a serine or a proline residue in position 2, were scavenged with different efficacies (29.0 ± 4.1 and 76.0 ± 6.6% of the initially seeded chemokine, respectively), in agreement with previous results reporting that only the CCL3L1 variant is a high affinity D6 ligand (14). CCL1, which does not bind D6 (7), was the only inflammatory CC chemokine tested not scavenged by D6 (3.1 ± 1.4% of the initially seeded chemokine). None of the chemokines tested was scavenged by untransfected CHO-K1 cells. Unlike CC inflammatory chemokines, the homeostatic chemokines CCL19 and CCL20, agonists at CCR7 and CCR6, respectively, were not scavenged (8.2 ± 9.2 and 6.7 ± 12.5% of the initially seeded chemokine, respectively). As expected (7), the CXC chemokine CXCL8 was not scavenged by D6 transfectants (2.4 ± 7.3% of the initially seeded chemokine)""",,,,,,,no interaction,0,D,"Evidence level ""D"" given because of indirect assay"
CCL20,LARC; MIP-3a,ACKR3,32533638,"Matti, et al. 2020. J Leukoc Biol","""We used a BRET-based assay to measure chemokine-induced _-arrestin recruitment to cognate receptors. We tagged _-arrestin1 and _-arrestin2 with the NLuc and hACKR4, hACKR3, and hCCR6 with the EYFP and expressed them in HeLa cells. Untagged, native hCCL20 in a dose dependent manner recruited both _-arrestin1-NLuc (Fig. 5A) and _-arrestin2-NLuc (Fig. 5B) to hACKR4-EYFP with a comparable potency. As noted for other chemokine/chemokine receptor pairs,28 hCCL20 recruited _-arrestin2-NLuc slightly more potent to hACKR4-EYFP than _-arrestin1-NLuc (Figs. 5A and 5B). Consistent with the competition binding data, hCCL19 more efficiently recruited _-arrestin2-NLuc to hACKR4-EYFP than hCCL20 (Fig. 5C). By contrast, hCCL20 did not recruit _-arrestin2-NLuc to hACKR3-EYFP (Fig. 5D). When tested on its unique cognate typical receptor, hCCL20 also recruited _-arrestin1-NLuc (Fig. 5E) and _-arrestin2-NLuc (Fig. 5F) to hCCR6-EYFP in a dose dependent manner. These data provide clear evidence that hCCL20 is a ligand for hACKR4, but not for hACKR3""",,,,,,Signaling assay: BRET-based B-arrestin recruitment; Signaling cells: transiently transfected HeLa cells,no interaction,0,A,
CCL20,LARC; MIP-3a,ACKR4,32480426,"Meyrath, et al. 2021. J Leukoc Biol","""In agreement with the initial description by Matti and co-authors, our systematic analysis also identified CCL20 as an ACKR4 ligand capable of inducing _-arrestin-1 and _-arrestin-2 recruitment to the receptor and behaving as a partial agonist (80% efficacy) with a potency (EC50 = 42 nM) somewhat lower than potencies observed for CCL19 (EC50 = 3 nM), CCL21 (EC50 = 5 nM), and CCL25 (EC50 = 24 nM) (Fig. 1B)""",,,42,,,Signaling assay:  _-arrestin recruitment using NanoBiT; Signaling cells: U87 cells,agonist,3,A,"Note that this paper performs both single point assays with ligands at 100nM (43 chemokines) and dose-response assays (9 chemokines, 7 of which are native human chemokines)"
CCL20,LARC; MIP-3a,ACKR4,32533638,"Matti, et al. 2020. J Leukoc Biol","""We used a BRET-based assay to measure chemokine-induced _-arrestin recruitment to cognate receptors. We tagged _-arrestin1 and _-arrestin2 with the NLuc and hACKR4, hACKR3, and hCCR6 with the EYFP and expressed them in HeLa cells. Untagged, native hCCL20 in a dose dependent manner recruited both _-arrestin1-NLuc (Fig. 5A) and _-arrestin2-NLuc (Fig. 5B) to hACKR4-EYFP with a comparable potency. As noted for other chemokine/chemokine receptor pairs,28 hCCL20 recruited _-arrestin2-NLuc slightly more potent to hACKR4-EYFP than _-arrestin1-NLuc (Figs. 5A and 5B). Consistent with the competition binding data, hCCL19 more efficiently recruited _-arrestin2-NLuc to hACKR4-EYFP than hCCL20 (Fig. 5C). By contrast, hCCL20 did not recruit _-arrestin2-NLuc to hACKR3-EYFP (Fig. 5D). When tested on its unique cognate typical receptor, hCCL20 also recruited _-arrestin1-NLuc (Fig. 5E) and _-arrestin2-NLuc (Fig. 5F) to hCCR6-EYFP in a dose dependent manner. These data provide clear evidence that hCCL20 is a ligand for hACKR4, but not for hACKR3""",,,200,,,Signaling assay: BRET-based B-arrestin recruitment; Signaling cells: transiently transfected HeLa cells,agonist,2,A,"Multiple conditions tested including CCL20-mediated B-arrestin1 recruitment (EC50 300nM, not listed); B-arrestin2 recruitment (EC50 200nM, listed); paper also presentings data showing binding and uptake of fluorescently-labeled CCL20; these data are not considered in table because they are considered to be less directly reporting on ligand-GPCR interactions than BRET assays between the GPCR and B-arrestin  "
CCL21,SLC,CCR1,9507024,"Yoshida, et al. 1998. J Biol Chem","""To investigate the ability of SLC [CCL21] to induce signaling through the known CC chemokine receptors, we examined calcium mobilization in murine L1.2 cells stably expressing human CCR1, CCR2B, CCR3, CCR4, CCR5, CCR6, and CCR7 upon stimulation with SLC [CCL21]. As shown in Fig. 2, SLC [CCL21] did not induce significant calcium flux in parental L1.2 or those expressing CCR1, CCR2B, CCR3, CCR4, CCR5, or CCR6. We confirmed that L1.2 expressing each receptor responded to an appropriate ligand with a vigorous calcium flux""; ""Transfected L1.2 cells stably expressing CCR1, CCR2B, CCR3, CCR4, CCR5, CCR6, or CCR7 were loaded with Fura 2-AM and stimulated with 10 nm each chemokine as indicated""",,,,,,Signaling assay: calcium flux; Signaling cells: L1.2 cells stably expressing indicated receptor,no interaction,0,C,
CCL21,SLC,CCR2,9507024,"Yoshida, et al. 1998. J Biol Chem","""To investigate the ability of SLC [CCL21] to induce signaling through the known CC chemokine receptors, we examined calcium mobilization in murine L1.2 cells stably expressing human CCR1, CCR2B, CCR3, CCR4, CCR5, CCR6, and CCR7 upon stimulation with SLC [CCL21]. As shown in Fig. 2, SLC [CCL21] did not induce significant calcium flux in parental L1.2 or those expressing CCR1, CCR2B, CCR3, CCR4, CCR5, or CCR6. We confirmed that L1.2 expressing each receptor responded to an appropriate ligand with a vigorous calcium flux""; ""Transfected L1.2 cells stably expressing CCR1, CCR2B, CCR3, CCR4, CCR5, CCR6, or CCR7 were loaded with Fura 2-AM and stimulated with 10 nm each chemokine as indicated""",,,,,,Signaling assay: calcium flux; Signaling cells: L1.2 cells stably expressing indicated receptor,no interaction,0,C,
CCL21,SLC,CCR3,9507024,"Yoshida, et al. 1998. J Biol Chem","""To investigate the ability of SLC [CCL21] to induce signaling through the known CC chemokine receptors, we examined calcium mobilization in murine L1.2 cells stably expressing human CCR1, CCR2B, CCR3, CCR4, CCR5, CCR6, and CCR7 upon stimulation with SLC [CCL21]. As shown in Fig. 2, SLC [CCL21] did not induce significant calcium flux in parental L1.2 or those expressing CCR1, CCR2B, CCR3, CCR4, CCR5, or CCR6. We confirmed that L1.2 expressing each receptor responded to an appropriate ligand with a vigorous calcium flux""; ""Transfected L1.2 cells stably expressing CCR1, CCR2B, CCR3, CCR4, CCR5, CCR6, or CCR7 were loaded with Fura 2-AM and stimulated with 10 nm each chemokine as indicated""",,,,,,Signaling assay: calcium flux; Signaling cells: L1.2 cells stably expressing indicated receptor,no interaction,0,C,
CCL21,SLC,CCR4,9507024,"Yoshida, et al. 1998. J Biol Chem","""To investigate the ability of SLC [CCL21] to induce signaling through the known CC chemokine receptors, we examined calcium mobilization in murine L1.2 cells stably expressing human CCR1, CCR2B, CCR3, CCR4, CCR5, CCR6, and CCR7 upon stimulation with SLC [CCL21]. As shown in Fig. 2, SLC [CCL21] did not induce significant calcium flux in parental L1.2 or those expressing CCR1, CCR2B, CCR3, CCR4, CCR5, or CCR6. We confirmed that L1.2 expressing each receptor responded to an appropriate ligand with a vigorous calcium flux""; ""Transfected L1.2 cells stably expressing CCR1, CCR2B, CCR3, CCR4, CCR5, CCR6, or CCR7 were loaded with Fura 2-AM and stimulated with 10 nm each chemokine as indicated""",,,,,,Signaling assay: calcium flux; Signaling cells: L1.2 cells stably expressing indicated receptor,no interaction,0,C,
CCL21,SLC,CCR5,9507024,"Yoshida, et al. 1998. J Biol Chem","""To investigate the ability of SLC [CCL21] to induce signaling through the known CC chemokine receptors, we examined calcium mobilization in murine L1.2 cells stably expressing human CCR1, CCR2B, CCR3, CCR4, CCR5, CCR6, and CCR7 upon stimulation with SLC [CCL21]. As shown in Fig. 2, SLC [CCL21] did not induce significant calcium flux in parental L1.2 or those expressing CCR1, CCR2B, CCR3, CCR4, CCR5, or CCR6. We confirmed that L1.2 expressing each receptor responded to an appropriate ligand with a vigorous calcium flux""; ""Transfected L1.2 cells stably expressing CCR1, CCR2B, CCR3, CCR4, CCR5, CCR6, or CCR7 were loaded with Fura 2-AM and stimulated with 10 nm each chemokine as indicated""",,,,,,Signaling assay: calcium flux; Signaling cells: L1.2 cells stably expressing indicated receptor,no interaction,0,C,
